project,repo_name,repo_archived,repo_gone,month,outcome,author_association,author_pseud,size_lines,files_touched,review_count,hours_to_first_review,hours_to_merge
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afd612ab4,4,2,1,5,6
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afdafcebc,2,1,1,1,2
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afdafcebc,2,1,1,0,2
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afdafcebc,33,3,1,2,2
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afdafcebc,44,2,1,2,2
moby,buildkit,f,f,2024-01-01,merged,MEMBER,a665e4470,44,2,1,168,168
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afd612ab4,2432,51,1,186,186
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afd612ab4,14,3,2,0,135
moby,buildkit,f,f,2024-01-01,closed,MEMBER,a2d328606,4,1,7,0,
moby,buildkit,f,f,2024-01-01,closed,COLLABORATOR,a45bdb06c,247,12,5,311,
moby,buildkit,f,f,2024-01-01,merged,CONTRIBUTOR,aa0450d8f,26,1,8,129,2823
moby,buildkit,f,f,2024-01-01,merged,COLLABORATOR,a29405abf,2,1,2,0,0
moby,buildkit,f,f,2024-01-01,merged,COLLABORATOR,a29405abf,49,1,3,66,91
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afdafcebc,45,5,1,92,92
moby,buildkit,f,f,2024-01-01,merged,COLLABORATOR,a9a258f36,64,5,14,16,940
moby,buildkit,f,f,2024-01-01,merged,MEMBER,a665e4470,250,4,6,4,46
moby,buildkit,f,f,2024-01-01,merged,MEMBER,a665e4470,9,1,2,2,5
moby,buildkit,f,f,2024-01-01,merged,CONTRIBUTOR,aac2d5852,460,11,7,580,917
moby,buildkit,f,f,2024-01-01,merged,MEMBER,af5c6dc4c,8,1,1,8,8
moby,buildkit,f,f,2024-01-01,merged,MEMBER,af5c6dc4c,2346,36,3,585,650
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afdafcebc,745,32,1,9,9
moby,buildkit,f,f,2024-01-01,closed,COLLABORATOR,a9a258f36,2,1,1,5,
moby,buildkit,f,f,2024-01-01,merged,MEMBER,af5c6dc4c,59,4,1,3,3
moby,buildkit,f,f,2024-01-01,merged,MEMBER,af5c6dc4c,58,3,2,72,119
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afdafcebc,16,3,1,3,3
moby,buildkit,f,f,2024-01-01,closed,MEMBER,a9208ed66,52,2,0,,
moby,buildkit,f,f,2024-01-01,merged,MEMBER,a665e4470,12,1,2,2,6
moby,buildkit,f,f,2024-01-01,merged,MEMBER,a665e4470,10,1,3,0,1
moby,buildkit,f,f,2024-01-01,merged,MEMBER,a665e4470,3,1,1,2,2
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afdafcebc,2,1,1,0,1
moby,buildkit,f,f,2024-01-01,merged,MEMBER,ad28e9a8f,8,3,1,11,11
moby,buildkit,f,f,2024-01-01,merged,CONTRIBUTOR,a59295010,2,1,2,0,1
